BASK,BBID,BTC_Before,BTC_imbalance,BuyVol,BuyVolBTC,DateTime,Imbalance,SellVol,SellVolBTC,VWAP_before,mid_px,mid_px_0.95,mid_px_0.99,mid_px_0.9925,mid_px_0.995,mid_px_0.996,mid_px_0.997,mid_px_0.998,mid_px_0.999,mid_px_1.001,mid_px_1.002,mid_px_1.003,mid_px_1.004,mid_px_1.005,mid_px_1.0075,mid_px_1.01,mid_px_1.05,mid_px_amt_0.95,mid_px_amt_0.99,mid_px_amt_0.9925,mid_px_amt_0.995,mid_px_amt_0.996,mid_px_amt_0.997,mid_px_amt_0.998,mid_px_amt_0.999,mid_px_amt_1.001,mid_px_amt_1.002,mid_px_amt_1.003,mid_px_amt_1.004,mid_px_amt_1.005,mid_px_amt_1.0075,mid_px_amt_1.01,mid_px_amt_1.05,target
245.03,244.97,7791.541574997169,-0.6312151282517908,680.1093600000002,680.1093600000002,2019-06-06 04:36:13.705206,-0.12014320726528155,1063.8804300000002,1063.8804300000002,244.99286087935053,245.0,,242.89578947368418,243.4769565217391,243.93,244.13454545454545,244.38272727272727,244.6466666666667,244.86000000000004,245.12333333333333,245.35294117647058,245.6154545454545,245.86421052631576,246.10095238095238,246.32416666666666,,,0.0,91.13947000000002,283.4947,22.75872,91.39707999999999,130.13508000000002,105.07556,124.76947000000001,74.7173,168.45796,127.78363999999999,122.46647000000002,273.97468000000003,305.1769,0.0,0.0,0
244.64,244.59,7786.176264389525,0.8620447872875735,566.1923599999999,566.1923599999999,2019-06-06 04:41:14.630918,0.11399779403785486,1027.3863800000004,1027.3863800000004,244.61984834646827,244.615,,242.71800000000002,243.07708333333335,243.5258823529411,243.75799999999998,244.02166666666665,244.25428571428571,244.47181818181824,244.7506666666667,244.9366666666667,245.20818181818186,245.48625000000004,245.70736842105262,246.06333333333333,,,0.0,33.326010000000004,297.3762,125.45167000000001,79.72142,115.42257000000001,171.34956000000003,83.87689999999999,106.12672,36.36918,188.22215,206.42476000000002,113.11596999999998,107.22688999999997,0.0,0.0,0
244.69,244.65,7780.358932466346,0.0847928313978334,406.15689,406.15689,2019-06-06 04:46:15.550224,-0.5781754385863795,476.63982000000027,476.63982000000027,244.66828498416103,244.67000000000002,,242.76999999999998,243.15999999999997,243.56866666666667,243.80899999999997,244.0806666666667,244.29117647058817,244.53153846153842,244.79375,245.01125000000002,245.283125,245.52300000000005,245.761052631579,246.02714285714288,,,0.0,36.275059999999996,352.55060999999995,72.89865,69.2505,170.45471999999998,118.07018999999998,156.63445000000002,383.20885000000004,61.2849,130.68717999999998,262.29917,21.3488,122.51068,0.0,0.0,0
245.26,245.2,7799.292373395869,-0.199133961601835,748.5474099999999,748.5474099999999,2019-06-06 04:51:16.490252,0.40916900899950953,423.16970000000015,423.16970000000015,245.23765455946224,245.23,,243.23,243.67384615384614,244.13333333333335,244.37833333333336,244.61363636363637,244.842,245.1107692307692,245.37266666666662,245.6008695652174,245.85812499999997,246.08909090909086,246.34562499999998,246.52124999999998,,,0.0,218.49463000000003,169.91439000000003,20.9428,107.23996000000002,128.11218,99.06653,123.14293,126.22988000000001,217.74401000000003,51.681540000000005,219.44254999999998,361.63786999999996,68.56031,0.0,0.0,0
245.21,245.1,7796.258773764177,0.8103750888719214,853.7386600000002,853.7386600000002,2019-06-06 04:56:17.420237,0.3417909887577309,290.1062199999998,290.1062199999998,245.10537703892746,245.155,,243.13266666666667,243.5884,244.05545454545452,244.28222222222223,244.54642857142852,244.77461538461537,245.0053846153846,245.30999999999997,245.52800000000008,245.75210526315794,246.02000000000004,246.24647058823533,246.45909090909092,,,0.0,313.22945,258.23305999999997,96.7448,88.71259,102.01477,86.41435999999999,106.19998,140.31832,162.05732000000003,133.90836,284.31257999999997,321.09199,62.84399,0.0,0.0,0
244.96,244.93,7788.745485809638,-0.2843367077288305,617.0446800000002,617.0446800000002,2019-06-06 05:01:18.349353,0.2930094115995972,387.61688000000026,387.61688000000026,244.98672450609013,244.945,,242.94071428571434,243.4134615384615,243.85857142857142,244.0946153846154,244.34,244.57687500000003,244.80399999999997,245.08444444444442,245.3078571428571,245.5625,245.7888888888889,246.04500000000002,246.31315789473683,,,0.0,86.85957,104.01316999999999,219.6389,104.67008,68.32729,84.78054,106.1968,49.82993999999999,133.26617000000002,110.99651,200.7313,250.37147000000002,329.84193,0.0,0.0,0
245.98,245.91,7806.474812456604,-0.3546873884987076,1301.67887,1301.67887,2019-06-06 05:06:19.275147,-0.03715470596485905,244.52976000000024,244.52976000000024,245.8790659761255,245.945,,243.92307692307696,244.40652173913045,244.82090909090905,245.07222222222222,245.3116666666667,245.57687499999997,245.78999999999996,246.10071428571425,246.31722222222223,246.56052631578945,246.80499999999998,247.04882352941175,247.31642857142853,,,0.0,45.8565,283.76827000000003,75.97353,57.93681,82.57419999999999,123.54559,176.68854000000002,112.23602,106.92497,148.70339,236.23406,419.3430599999999,274.86429,0.0,0.0,0
245.79,245.75,7807.015746956503,-0.19408360956306273,535.5173999999998,535.5173999999998,2019-06-06 05:11:20.514746,-0.6340190418496413,604.1163800000003,604.1163800000003,245.78055233257282,245.76999999999998,,243.7292857142857,244.24565217391307,244.68,244.89727272727276,245.1625,245.40428571428578,245.64736842105265,245.9090909090909,246.15187500000002,246.39111111111112,246.63095238095235,246.8799999999999,247.1073333333333,,,0.0,10.134739999999999,282.3502,100.33122000000002,92.55786,90.67847,97.37656999999999,157.63251000000002,219.26466,91.09604999999999,180.42012,152.74025,429.50022000000007,130.04112,0.0,0.0,0
245.55,245.48,7800.764104866396,-0.3329699310598075,348.2980200000002,348.2980200000002,2019-06-06 05:16:21.446048,-0.018062875203779263,686.7693600000003,686.7693600000003,245.51578495915138,245.515,,243.46208333333334,244.0036,244.42500000000004,244.6777777777778,244.89583333333337,245.17142857142858,245.36727272727276,245.66833333333338,245.87333333333333,246.13823529411755,246.37937499999998,246.60749999999993,246.9278260869565,,,0.0,117.66421999999997,312.62836,78.08988,107.16663,91.40053999999999,88.95718000000001,97.67207999999998,126.77398000000001,199.09469,206.92911,178.39558,98.1059,561.21764,0.0,0.0,0
245.63,245.54,7804.0210929627165,-0.790758441215992,410.22552000000013,410.22552000000013,2019-06-06 05:21:22.395615,0.09830301228651038,579.35056,579.35056,245.5897415526491,245.58499999999998,,243.60785714285717,244.06080000000003,244.44916666666668,244.7115384615385,244.97363636363636,245.21272727272728,245.435,245.72142857142862,245.95250000000004,246.21933333333334,246.45523809523812,246.68611111111113,246.95875000000004,,,0.0,30.351760000000002,350.01101,39.7445,74.56063000000002,124.12665999999999,100.54389,113.61731,206.52319,143.70586,140.88826,229.98118999999997,43.4923,556.4244699999999,0.0,0.0,-1
