BASK,BBID,BTC_Before,BTC_imbalance,BuyVol,BuyVolBTC,DateTime,Imbalance,SellVol,SellVolBTC,VWAP_before,mid_px,mid_px_0.95,mid_px_0.99,mid_px_0.9925,mid_px_0.995,mid_px_0.996,mid_px_0.997,mid_px_0.998,mid_px_0.999,mid_px_1.001,mid_px_1.002,mid_px_1.003,mid_px_1.004,mid_px_1.005,mid_px_1.0075,mid_px_1.01,mid_px_1.05,mid_px_amt_0.95,mid_px_amt_0.99,mid_px_amt_0.9925,mid_px_amt_0.995,mid_px_amt_0.996,mid_px_amt_0.997,mid_px_amt_0.998,mid_px_amt_0.999,mid_px_amt_1.001,mid_px_amt_1.002,mid_px_amt_1.003,mid_px_amt_1.004,mid_px_amt_1.005,mid_px_amt_1.0075,mid_px_amt_1.01,mid_px_amt_1.05,target
249.39,249.36,8034.905861372024,0.872243698646237,498.5384799999996,498.5384799999996,2019-06-03 23:03:55.405341,0.3367100267154792,342.56612000000007,342.56612000000007,249.32573155376096,249.375,,247.35333333333335,247.78888888888892,248.23363636363638,248.49142857142854,248.74272727272728,248.99333333333334,249.23499999999999,249.52599999999998,249.7211111111111,249.99899999999997,250.256,250.51333333333332,250.90607142857147,251.38071428571428,,0.0,5.21718,413.74369,48.45288,232.94155,82.70320999999998,65.60951,110.30035000000001,163.25515000000001,323.70799000000005,126.52505000000002,85.60363000000001,49.03446999999999,764.8683100000001,70.57199,0.0,1
261.81,261.71,8567.005481595876,-0.4310662256507391,397.17033,397.17033,2019-06-03 16:35:36.852539,0.1139423676735049,324.00439000000006,324.00439000000006,261.79541732369086,261.76,,259.68,260.1505882352941,260.58181818181816,260.83666666666664,261.1355555555556,261.37777777777785,261.6076923076923,261.9129411764706,262.161,262.425,262.675294117647,262.94722222222225,263.12625,,,0.0,32.82609,525.2885999999999,27.618250000000003,66.25477000000001,75.16178000000001,72.79229000000001,127.66546000000002,653.57002,112.70423000000001,494.25513,123.79188000000003,260.97379,180.92744,0.0,0.0,-1
260.69,260.63,8541.75200216078,0.9112254570250036,290.67321999999973,290.67321999999973,2019-06-03 16:55:41.692690,-0.22843398202541715,346.53397,346.53397,260.64251999265736,260.66,,,259.04137931034484,259.515,259.7607142857143,259.99916666666667,260.25999999999993,260.5135294117647,260.82714285714286,261.0314285714286,261.30272727272734,261.575,261.84692307692296,262.27170731707315,262.635,,0.0,0.0,632.75784,44.063460000000006,100.09085,285.68122999999986,49.47862000000001,147.55640000000002,101.14303999999998,25.593329999999998,159.86354,90.55172000000002,472.65097000000014,994.0645199999999,10.58412,0.0,1
260.4,260.37,8542.641446932634,-0.5801041109234185,195.3601300000001,195.3601300000001,2019-06-03 17:15:45.736565,0.23426322945841904,407.76827999999983,407.76827999999983,260.2869343507216,260.385,,258.3833333333333,258.7313513513513,259.2030769230769,259.48818181818183,259.725,259.955,260.23,260.52,260.72,260.998,261.29181818181814,261.55636363636364,262.0227499999999,262.44357142857143,,0.0,1.69848,704.26385,28.057369999999995,56.16305,39.47029999999999,236.04424,94.34168000000001,45.29048,21.41055,98.59817,124.78674,77.83055999999998,784.9205599999997,387.09506,0.0,-1
258.54,258.41,8483.541319961414,-0.7030841830628269,385.75399000000016,385.75399000000016,2019-06-03 18:16:00.334383,-0.3509454532735467,402.27451000000013,402.27451000000013,258.64403934207166,258.475,,256.53,256.84179487179483,257.3206666666667,257.55999999999995,257.8066666666666,258.1311111111111,258.31916666666666,258.63222222222225,258.82,259.15222222222224,259.37,259.62461538461537,260.11451612903215,260.54105263157896,,0.0,1.24431,282.94402,186.87842,1318.5537800000002,58.42916000000001,51.44291,63.92800999999999,83.19555,17.56545,27.47758,148.80178999999995,61.445209999999996,433.5688,170.64490999999995,0.0,-1
257.67,257.58,8447.153697549333,-0.3980263424705902,262.2491,262.2491,2019-06-03 18:21:01.357065,-0.2824615946003454,447.70068000000015,447.70068000000015,257.78622338026827,257.625,,255.65125,256.0112499999999,256.44666666666666,256.69857142857137,256.9928571428572,257.28599999999994,257.46454545454543,257.76,257.99,258.27933333333334,258.53333333333336,258.79571428571427,259.2348148148148,259.65200000000004,,0.0,14.54024,372.04335999999984,100.03494,124.26056000000001,27.227209999999996,25.80331,60.67633000000001,52.483259999999994,112.32445,51.71039,139.69189,293.45584999999994,222.44425000000007,8.57403,0.0,-1
257.71,257.68,8459.621845671338,-0.5896920994610386,813.4726099999997,813.4726099999997,2019-06-03 19:06:11.345054,-0.4792781430595445,1071.565819999999,1071.565819999999,257.6766014894029,257.695,,255.6746153846154,256.0350000000001,256.51727272727265,256.81071428571425,257.0181818181818,257.325,257.58714285714285,257.82375,258.09090909090907,258.31285714285707,258.5675,258.8569230769231,259.3592857142857,259.7384615384616,,0.0,21.01918,302.11821999999995,21.237930000000006,110.92523,79.58791000000002,61.53742,33.20592,95.83505,44.07882,68.03758,83.41493000000001,494.53497000000004,37.71536,5.6797,0.0,-1
256.77,256.55,8401.824820248592,-0.6360155655794753,446.17751000000015,446.17751000000015,2019-06-03 19:16:13.291475,-0.2368554319787819,463.05494999999985,463.05494999999985,256.5238671066987,256.66,,254.5152,254.9987878787879,255.48333333333335,255.77,256.06333333333333,256.2763636363636,256.4771428571429,256.8445454545454,257.02785714285716,257.31,257.545,257.82875,258.2967741935484,258.81333333333333,,0.0,62.68843000000001,709.4547100000002,63.04891,107.61617,6.95856,34.58548999999999,35.69789,32.284130000000005,54.94910999999999,38.22619,77.52615,4.944540000000001,206.00215,22.19823,0.0,-1
255.33,255.2,8358.512512908575,0.3926204545001972,478.15444000000014,478.15444000000014,2019-06-03 19:21:14.218131,-0.19801347768895114,485.76016999999985,485.76016999999985,255.18639671579945,255.265,,,253.8543750000001,254.10650000000004,254.36150000000004,254.61111111111117,254.86823529411762,255.08666666666664,255.445,255.68166666666667,255.88333333333333,256.12500000000006,256.43714285714293,256.8552,257.48041666666666,257.91111111111115,0.0,0.0,76.31338000000002,219.4629199999999,84.73446,115.11851000000001,519.93219,117.60112,59.25032,42.37438999999999,39.25424,64.56372999999999,81.85605000000002,74.64282999999998,166.48758999999998,2.44785,-1
251.02,250.28,8196.356617864902,-0.4143636117936118,522.8601,522.8601,2019-06-03 19:26:15.905187,-0.6674258180660455,1103.0687300000002,1103.0687300000002,250.39240895694604,250.65,247.9504761904762,248.4681081081081,249.07914285714287,249.41,249.87,249.9,250.275,,,251.06,251.25833333333333,251.5725,251.765,252.2582352941177,252.81833333333333,253.9119642857144,620.5416100000001,129.14967,414.93158999999986,11.28707,0.47603,0.16,18.84773,0.0,0.0,300.76423,101.8883,4.330019999999999,18.91682,8.135819999999999,1.47327,305.60940000000005,-1
