BASK,BBID,BTC_Before,BTC_imbalance,BuyVol,BuyVolBTC,DateTime,Imbalance,SellVol,SellVolBTC,VWAP_before,mid_px,mid_px_0.925,mid_px_0.95,mid_px_0.97,mid_px_0.99,mid_px_0.9925,mid_px_0.995,mid_px_0.996,mid_px_0.997,mid_px_0.998,mid_px_0.999,mid_px_1.001,mid_px_1.002,mid_px_1.003,mid_px_1.004,mid_px_1.005,mid_px_1.0075,mid_px_1.01,mid_px_1.03,mid_px_1.05,mid_px_1.075,mid_px_amt_0.925,mid_px_amt_0.95,mid_px_amt_0.97,mid_px_amt_0.99,mid_px_amt_0.9925,mid_px_amt_0.995,mid_px_amt_0.996,mid_px_amt_0.997,mid_px_amt_0.998,mid_px_amt_0.999,mid_px_amt_1.001,mid_px_amt_1.002,mid_px_amt_1.003,mid_px_amt_1.004,mid_px_amt_1.005,mid_px_amt_1.0075,mid_px_amt_1.01,mid_px_amt_1.03,mid_px_amt_1.05,mid_px_amt_1.075,target
268.74,268.64,8788.26999653615,-0.4188597741644456,336.43972999999994,18.16377700000001,2019-06-15 14:57:05.187551,-0.1799411314159094,570.7239099999994,18.124855,268.80182329114115,268.69,,,,,267.0314285714286,267.4961111111111,267.76,268.06333333333333,268.2677777777778,268.5385714285714,268.84799999999996,269.0757142857143,269.3358333333333,269.6236842105263,269.8815384615384,270.3814814814815,,,,,0,0,0.0,0.0,320.42963000000003,71.06464,94.47280999999998,229.36769,37.74025,121.24887,169.11263,110.99146999999999,63.927490000000006,109.42688999999999,521.36593,224.45375,0.0,0.0,0,0,-1
268.27,268.2,8780.672574583039,-0.38085865670563745,447.63154000000014,21.783247,2019-06-15 14:59:18.223434,-0.19817314619032475,614.4357899999998,19.832721999999983,268.27587549607017,268.235,,,,,266.71578947368425,267.01333333333326,267.268125,267.57210526315794,267.7991666666667,268.0925,268.40399999999994,268.62777777777774,268.92363636363643,269.1816666666667,269.4963636363637,269.85966666666667,270.3674999999999,,,,0,0,0.0,0.0,208.30284,75.08337,103.85662999999998,66.08049,77.56439999999999,141.17323000000002,319.30379999999997,69.41225,63.87145000000001,89.11364999999999,110.10786999999999,514.67761,41.8189,0.0,0,0,1
269.22,269.15,8789.286671885973,0.8420169467474704,1088.7545199999995,30.093938999999985,2019-06-15 15:02:02.705509,5.388498306020776e-05,357.7896200000002,28.496091999999994,269.18380511704805,269.185,,,,267.0575,267.4925,267.95714285714286,268.2288888888889,268.55083333333334,268.7683333333333,269.03333333333336,269.3428571428571,269.5882352941176,269.8417647058823,270.10923076923075,270.3962499999999,270.76,,,,,0,0,0.0,102.67604000000001,255.41342000000003,292.88590999999997,100.89223000000003,208.43372,55.645039999999995,57.46060000000001,81.03216,84.57610999999999,130.51466999999997,476.6265100000001,205.39150999999998,82.21468999999999,0.0,0.0,0,0,-1
268.79,268.73,8810.202373046985,-0.767003848208655,448.0349900000003,25.064134999999986,2019-06-15 15:22:31.355501,-0.16791064695967434,324.7335299999999,16.669837999999995,268.7873131872741,268.76,,,,,267.1048275862069,267.5444444444444,267.80833333333334,268.0792857142857,268.35230769230776,268.62428571428575,268.90230769230766,269.1381818181818,269.45312500000006,269.71777777777777,269.9592307692308,270.41655172413795,,,,,0,0,0.0,0.0,306.46405000000004,50.32817000000001,77.98812,404.65297999999996,78.32732,148.69941,216.69947,33.357440000000004,75.00297,167.49489,283.6696,173.87635,0.0,0.0,0,0,0
268.85,268.84,8826.409068881301,0.4567512569457183,530.95467,193.67224999999993,2019-06-15 15:38:33.770286,0.7736604806287859,520.1317699999998,54.64203499999997,268.8456592388904,268.845,,,,266.815,267.15325,267.6414285714286,267.915,268.1423076923077,268.43625000000003,268.7076923076923,268.9842857142857,269.2578571428572,269.51133333333337,269.7745,270.0409090909091,270.44153846153847,,,,,0,0,0.0,1.0389,319.83712,58.42443000000001,441.83356999999995,47.519659999999995,54.813509999999994,170.56696000000002,134.83728,65.27319999999999,72.6493,193.68856,190.04136999999997,124.79420999999999,0.0,0.0,0,0,-1
268.27,268.22,8809.828292601662,0.19417475323229824,592.6793599999994,18.054893999999997,2019-06-15 16:03:20.854807,-0.578747351214875,330.65800999999993,20.51813299999999,268.23873838412493,268.245,,,,,266.72318181818184,267.0158823529411,267.28399999999993,267.55499999999995,267.8027272727273,268.09105263157903,268.3970588235294,268.64583333333326,268.9061538461538,269.2141666666667,269.47636363636366,269.87628571428576,,,,,0,0,0.0,0.0,44.10943,206.30101,100.37613999999999,94.38483000000002,52.551739999999995,435.79259,238.48371999999995,36.67812,82.48528000000002,84.62095,395.00201999999996,326.05294999999995,0.0,0.0,0,0,-1
266.8,266.69,8753.301288781184,-0.40159669436579437,500.6197800000003,13.953495999999998,2019-06-15 16:12:10.603670,-0.2996335894201664,706.6209000000007,24.066780000000005,266.7629678265163,266.745,,,,,265.34299999999996,265.5673333333333,265.7965,266.07789473684215,266.3495,266.57874999999996,266.90538461538466,267.13636363636357,267.465,267.68625000000003,267.98125,268.38142857142856,269.0196153846154,,,,0,0,0.0,0.0,14.42427,66.88279,245.51443000000006,174.16456000000002,147.28858,120.75464,157.26306,49.21025,17.44428,37.825469999999996,86.47247999999999,100.80944000000001,361.8116,0.0,0,0,1
267.24,267.12,8762.752520645974,-0.8005098661754801,517.7096300000004,29.405918000000003,2019-06-15 16:12:43.705453,-0.5050162278323032,701.6961300000005,25.100956000000004,267.25901946733205,267.18,,,,,265.654,265.9957894736842,266.25052631578944,266.49625,266.76,267.01666666666665,267.318,267.586,267.856,268.16,268.38000000000005,268.85916666666674,269.3647619047619,,,,0,0,0.0,0.0,208.92168,542.28457,147.69380999999998,138.51635,24.5738,67.15873,137.33087,26.00909,80.90323000000001,74.25726,65.82505,382.40830000000005,428.51637,0.0,0,0,-1
266.45,266.38,8738.812602029986,-0.34964857674466115,487.4184000000002,42.312245,2019-06-15 16:18:14.311626,-0.059899982333118856,640.52217,19.770359000000013,266.408028873299,266.41499999999996,,,,,265.034,265.2110526315789,265.4873684210526,265.7471428571428,266.02227272727265,266.26357142857137,266.5675,266.817,267.0981818181818,267.33,267.59999999999997,268.1122727272727,268.676875,,,,0,0,0.0,0.0,146.67869,202.53142,84.21123999999999,70.03397,563.03775,132.0602,199.97662,44.03696,53.473699999999994,150.07374,50.53602,197.63061,20.271349999999998,0.0,0,0,-1
266.01,265.94,8729.64059316395,-0.7579521910207999,319.32660000000016,22.282197000000007,2019-06-15 16:18:47.717491,0.5198977093025676,1126.2774299999999,21.11482300000001,265.96013324205643,265.975,,,,,264.57624999999996,264.79090909090905,265.0461904761905,265.2994736842105,265.5747619047619,265.8265,266.11125,266.395,266.633,266.91285714285715,267.18555555555554,267.5996,268.2740909090909,268.75777777777773,,,0,0,0.0,0.0,128.85232,44.99265,215.60964,112.91494999999999,52.033239999999985,189.22819,86.07336000000001,79.69604,19.63451,68.50133,34.52721999999999,155.59494000000004,189.65066999999996,5.285839999999999,0,0,1
