BASK,BBID,BTC_Before,BTC_imbalance,BuyVol,BuyVolBTC,DateTime,Imbalance,SellVol,SellVolBTC,VWAP_before,mid_px,mid_px_0.925,mid_px_0.95,mid_px_0.97,mid_px_0.99,mid_px_0.9925,mid_px_0.995,mid_px_0.996,mid_px_0.997,mid_px_0.998,mid_px_0.999,mid_px_1.001,mid_px_1.002,mid_px_1.003,mid_px_1.004,mid_px_1.005,mid_px_1.0075,mid_px_1.01,mid_px_1.03,mid_px_1.05,mid_px_1.075,mid_px_amt_0.925,mid_px_amt_0.95,mid_px_amt_0.97,mid_px_amt_0.99,mid_px_amt_0.9925,mid_px_amt_0.995,mid_px_amt_0.996,mid_px_amt_0.997,mid_px_amt_0.998,mid_px_amt_0.999,mid_px_amt_1.001,mid_px_amt_1.002,mid_px_amt_1.003,mid_px_amt_1.004,mid_px_amt_1.005,mid_px_amt_1.0075,mid_px_amt_1.01,mid_px_amt_1.03,mid_px_amt_1.05,mid_px_amt_1.075,target,BTC_VolImbal,VolImbal,day_of_week,hour_of_day
269.19,269.18,8794.339002388833,0.9206074217336659,318.61757000000017,20.187542999999987,11.26770302611111,0.2349605582411822,542.10006,23.984106999999995,269.1679642454358,269.185,,,,267.0571428571428,267.49965517241384,267.979,268.25076923076915,268.46999999999997,268.8275,269.03125,269.3211764705882,269.585625,269.83625,270.111,270.36538461538464,270.80321428571426,,,,,0,0.0,0.0,82.89484,239.72887,428.00411999999994,106.60211,128.74427,48.81864,70.72445,163.08804999999995,67.36950999999999,177.18080999999998,402.52371000000005,86.78702,325.70911000000007,0.0,0.0,0.0,0,0,-3.796564000000007,-223.4824899999998,15,14
268.99,268.93,8801.18021516124,-0.5914204923779256,302.8953899999997,26.98436700000001,11.263142503680555,-0.22112995553005113,267.19706,14.11176,268.9537253734581,268.96000000000004,,,,266.93,267.27885714285713,267.733,268.02199999999993,268.3138888888889,268.53999999999996,268.8306666666667,269.08923076923077,269.34599999999995,269.6273684210526,269.88187500000004,270.178,270.5596296296296,,,,,0,0.0,0.0,1.6294399999999998,527.6076499999999,52.92613,223.97590000000002,190.38811000000004,41.7131,109.19335999999998,165.33867,108.36890999999999,98.65722999999998,563.5763599999999,16.51361,299.35548,0.0,0.0,0.0,0,0,12.87260700000001,35.69832999999966,15,14
268.22,268.16,8781.366016197582,0.7564272235568659,301.5655199999999,14.579253999999993,11.26086839957176,-0.15499614412102486,580.4671899999997,36.38647000000004,268.2375520731353,268.19000000000005,,,,,266.645,266.979,267.24999999999994,267.5270588235294,267.77916666666664,268.06399999999996,268.3308333333333,268.55555555555554,268.8591666666666,269.14076923076925,269.40166666666664,269.82124999999996,270.308,,,,0,0.0,0.0,0.0,305.37098999999995,91.63805,99.71527999999998,123.22703000000003,99.57322,128.69781,157.61421,56.43185,70.15056999999999,102.20432,39.71587,726.7224199999999,1.9863700000000002,0.0,0.0,0,0,-21.807216000000047,-278.90166999999985,15,14
268.74,268.64,8788.26999653615,-0.4188597741644456,336.43972999999994,18.16377700000001,11.259729574895832,-0.1799411314159094,570.7239099999994,18.124855,268.80182329114115,268.69,,,,,267.0314285714286,267.4961111111111,267.76,268.06333333333333,268.2677777777778,268.5385714285714,268.84799999999996,269.0757142857143,269.3358333333333,269.6236842105263,269.8815384615384,270.3814814814815,,,,,0,0.0,0.0,0.0,320.42963000000003,71.06464,94.47280999999998,229.36769,37.74025,121.24887,169.11263,110.99146999999999,63.927490000000006,109.42688999999999,521.36593,224.45375,0.0,0.0,0.0,0,-1,0.038922000000010115,-234.28417999999942,15,14
268.27,268.2,8780.672574583039,-0.38085865670563745,447.63154000000014,21.783247,11.258189807731481,-0.19817314619032475,614.4357899999998,19.832721999999983,268.27587549607017,268.235,,,,,266.71578947368425,267.01333333333326,267.268125,267.57210526315794,267.7991666666667,268.0925,268.40399999999994,268.62777777777774,268.92363636363643,269.1816666666667,269.4963636363637,269.85966666666667,270.3674999999999,,,,0,0.0,0.0,0.0,208.30284,75.08337,103.85662999999998,66.08049,77.56439999999999,141.17323000000002,319.30379999999997,69.41225,63.87145000000001,89.11364999999999,110.10786999999999,514.67761,41.8189,0.0,0.0,0,1,1.9505250000000167,-166.80424999999963,15,14
269.22,269.15,8789.286671885973,0.8420169467474704,1088.7545199999995,30.093938999999985,11.256286080011574,5.388498306020776e-05,357.7896200000002,28.496091999999994,269.18380511704805,269.185,,,,267.0575,267.4925,267.95714285714286,268.2288888888889,268.55083333333334,268.7683333333333,269.03333333333336,269.3428571428571,269.5882352941176,269.8417647058823,270.10923076923075,270.3962499999999,270.76,,,,,0,0.0,0.0,102.67604000000001,255.41342000000003,292.88590999999997,100.89223000000003,208.43372,55.645039999999995,57.46060000000001,81.03216,84.57610999999999,130.51466999999997,476.6265100000001,205.39150999999998,82.21468999999999,0.0,0.0,0.0,0,-1,1.597846999999991,730.9648999999993,15,15
268.89,268.71,8783.187170423496,0.6896288930661624,356.5856699999999,14.850907999999995,11.254767507708333,0.25293099352028614,463.09122000000036,24.824857999999992,268.76116015528754,268.79999999999995,,,,,267.1493939393939,267.57533333333333,267.8566666666666,268.1186666666666,268.4218181818182,268.6292857142857,268.95000000000005,269.1945454545455,269.49230769230775,269.74684210526317,270.01437500000003,270.4778125,,,,,0,0.0,0.0,0.0,306.88410000000005,51.21757,110.63529,369.79637,73.18909,194.36575,82.57383999999999,61.465720000000005,99.73470999999999,176.18267,506.42241000000007,282.92158,0.0,0.0,0.0,0,0,-9.973949999999997,-106.50555000000048,15,15
268.96,268.89,8791.931700232733,0.8209376500550515,333.6839600000002,20.122664999999994,11.252093142881945,0.0879244220236863,416.02135999999985,16.950614999999978,268.91161992122306,268.92499999999995,,,,266.87666666666667,267.23300000000006,267.6818181818182,267.98153846153843,268.2245454545454,268.52875,268.75357142857143,269.08,269.3353846153846,269.60705882352937,269.86125,270.1127272727272,270.49961538461537,,,,,0,0.0,0.0,4.80266,289.21518000000015,24.08401,359.79098999999997,92.27032,125.58406,169.95866,139.27541999999997,86.63621,84.08314,632.6841999999999,20.690170000000002,271.01675,0.0,0.0,0.0,0,0,3.1720500000000165,-82.33739999999966,15,15
268.67,268.58,8809.883067291445,-0.6653670404897429,414.8581600000004,23.355080000000008,11.241297713726853,0.43334429358664506,322.5561299999998,17.370345000000007,268.6477498769476,268.625,,,,,267.0180769230769,267.44,267.6766666666667,267.9878571428571,268.2,268.4866666666666,268.76666666666665,269.00666666666666,269.33000000000004,269.55,269.8105555555556,270.29870967741937,270.66333333333336,,,,0,0.0,0.0,0.0,204.48259,70.96611,83.59397000000001,401.44958,101.26266,206.88468999999998,132.3387,126.15069999999999,47.83903,118.62972999999998,204.63072,239.36312,1.04262,0.0,0.0,0,0,5.984735000000001,92.30203000000057,15,15
268.85,268.84,8826.409068881301,0.4567512569457183,530.95467,193.67224999999993,11.230926533981481,0.7736604806287859,520.1317699999998,54.64203499999997,268.8456592388904,268.845,,,,266.815,267.15325,267.6414285714286,267.915,268.1423076923077,268.43625000000003,268.7076923076923,268.9842857142857,269.2578571428572,269.51133333333337,269.7745,270.0409090909091,270.44153846153847,,,,,0,0.0,0.0,1.0389,319.83712,58.42443000000001,441.83356999999995,47.519659999999995,54.813509999999994,170.56696000000002,134.83728,65.27319999999999,72.6493,193.68856,190.04136999999997,124.79420999999999,0.0,0.0,0.0,0,-1,139.03021499999997,10.822900000000118,15,15
