BASK,BBID,BTC_Before,BTC_imbalance,BuyVol,BuyVolBTC,DateTime,Imbalance,SellVol,SellVolBTC,VWAP_before,mid_px,mid_px_0.925,mid_px_0.95,mid_px_0.97,mid_px_0.99,mid_px_0.9925,mid_px_0.995,mid_px_0.996,mid_px_0.997,mid_px_0.998,mid_px_0.999,mid_px_1.001,mid_px_1.002,mid_px_1.003,mid_px_1.004,mid_px_1.005,mid_px_1.0075,mid_px_1.01,mid_px_1.03,mid_px_1.05,mid_px_1.075,mid_px_amt_0.925,mid_px_amt_0.95,mid_px_amt_0.97,mid_px_amt_0.99,mid_px_amt_0.9925,mid_px_amt_0.995,mid_px_amt_0.996,mid_px_amt_0.997,mid_px_amt_0.998,mid_px_amt_0.999,mid_px_amt_1.001,mid_px_amt_1.002,mid_px_amt_1.003,mid_px_amt_1.004,mid_px_amt_1.005,mid_px_amt_1.0075,mid_px_amt_1.01,mid_px_amt_1.03,mid_px_amt_1.05,mid_px_amt_1.075,target
268.82,268.79,8783.214589918489,0.8162448651914831,393.0185599999998,21.999176000000002,2019-06-15 14:43:24.277955,-0.1691164518741181,529.1361799999999,24.43209799999999,268.77490456465097,268.805,,,,,267.0661111111111,267.576,267.87700000000007,268.1033333333333,268.3815384615385,268.68142857142857,268.94625,269.1892307692308,269.52727272727276,269.7688235294118,270.03875,270.486551724138,270.88500000000005,,,,0,0,0.0,0.0,133.2649,206.22508,59.60491,510.53611,103.30401,174.63301,169.84366999999997,37.39565,119.02322,106.97845,421.49425,150.28547,169.47853000000003,0.0,0,0,0
268.91,268.78,8785.621537423445,0.0951904941122839,381.1859400000001,20.785414,2019-06-15 14:43:57.033311,0.08547926059216299,532.5597099999999,23.41028199999999,268.90398540412536,268.845,,,,,267.14771428571424,267.61909090909097,267.92833333333334,268.18384615384616,268.4030769230769,268.67875000000004,269.0057142857143,269.2166666666667,269.52454545454543,269.776875,270.0577777777778,270.5270967741936,270.93142857142857,,,,0,0,0.0,0.0,94.68659000000001,199.09186,452.38619,190.44885999999997,65.60693,237.71444000000002,183.87214,30.763840000000002,100.34781000000001,123.23747999999999,406.42806,324.57275000000004,9.7302,0.0,0,0,0
269.04,269.0,8787.951491780626,0.07622161977996159,345.42215999999996,18.10804799999999,2019-06-15 14:44:30.322640,0.046400485457757254,545.46279,23.49377599999998,269.00568022729607,269.02,,,,266.9642857142857,267.34161290322584,267.8025,268.08,268.35200000000003,268.68,268.88769230769236,269.14928571428567,269.4393333333334,269.7085714285714,269.94000000000005,270.2558333333333,270.7515625,271.04,,,,0,0,0.0,32.29326999999999,249.24176000000003,24.85973,502.63049,137.69908999999998,143.20868,78.51958,151.83767,106.1832,68.06983,526.8198500000001,66.38655999999999,387.56751000000014,2.86527,0.0,0,0,0
269.05,269.01,8788.960060281486,0.868300922796437,323.01602000000025,15.551784999999986,2019-06-15 14:45:03.229241,0.34481572744221367,549.0859599999999,21.99356399999999,269.02549961056724,269.03,,,,266.9816666666667,267.36290322580646,267.8188888888889,268.0946153846154,268.37800000000004,268.66083333333336,268.88428571428574,269.1783333333333,269.45875000000007,269.716875,269.96000000000004,270.2558333333333,270.6948148148148,,,,,0,0,0.0,32.06467,249.16761000000002,28.85973,499.49386,164.36729,138.50024000000002,153.10298999999998,171.07603000000003,94.61197,69.95213,506.73987,16.38656,316.9882400000001,0.0,0.0,0,0,0
269.19,269.18,8794.339002388833,0.9206074217336659,318.61757000000017,20.187542999999987,2019-06-15 14:45:36.280366,0.2349605582411822,542.10006,23.984106999999995,269.1679642454358,269.185,,,,267.0571428571428,267.49965517241384,267.979,268.25076923076915,268.46999999999997,268.8275,269.03125,269.3211764705882,269.585625,269.83625,270.111,270.36538461538464,270.80321428571426,,,,,0,0,0.0,82.89484,239.72887,428.00411999999994,106.60211,128.74427,48.81864,70.72445,163.08804999999995,67.36950999999999,177.18080999999998,402.52371000000005,86.78702,325.70911000000007,0.0,0.0,0,0,0
269.12,269.08,8796.023158367863,0.9576103228665274,320.77038000000033,14.922977000000001,2019-06-15 14:46:08.972279,-0.617310333750262,546.6939400000002,39.33036299999998,269.1371359790804,269.1,,,,267.017,267.431935483871,267.92,268.1692307692308,268.44647058823523,268.6814285714285,268.97153846153844,269.247,269.5066666666666,269.77263157894737,270.0425,270.3071428571429,270.76466666666664,,,,,0,0,0.0,81.37165999999999,234.96276,399.65268999999995,125.6756,167.40229000000002,35.95511,44.3445,162.50059000000002,75.84230999999998,147.66181,455.1313200000001,79.96243,383.84350000000006,0.0,0.0,0,0,0
269.06,269.04,8797.795429375135,-0.43487069416375174,318.01946000000027,16.592182999999995,2019-06-15 14:46:41.987525,-0.7471262633200821,561.7191799999998,32.126898999999995,269.06145613231587,269.05,,,,266.97,267.3596875,267.855,268.12357142857144,268.39727272727276,268.64,268.91857142857145,269.1766666666667,269.4653846153846,269.72,269.98538461538465,270.27333333333337,270.6573913043478,,,,,0,0,0.0,51.1341,104.52359999999999,193.25188000000003,513.8879099999999,105.08523000000001,80.90799000000001,44.323769999999996,191.60811,89.32236,70.09745,525.02108,80.91421,133.28040000000001,0.0,0.0,0,0,0
268.73,268.68,8790.847856795463,0.3057895169735615,337.8525899999999,17.67668599999999,2019-06-15 14:47:14.807413,-0.07992088036497146,571.7144199999997,46.553019,268.69072533961827,268.70500000000004,,,,,267.063,267.5068749999999,267.75,268.0308333333333,268.29875,268.56571428571425,268.8553846153846,269.1044444444444,269.415,269.6526666666666,269.88,270.3809090909092,270.77799999999996,,,,0,0,0.0,0.0,86.9041,210.46562,60.54737000000001,525.37967,100.18279,174.21005,136.22614000000002,24.793769999999995,53.93809,124.41114999999998,517.11592,161.56282,16.07001,0.0,0,0,0
268.8,268.73,8794.468929110199,-0.18829363073599803,333.4758199999999,16.930662999999996,2019-06-15 14:47:47.668558,-0.1605194295378149,540.57465,40.66618199999999,268.7610881617095,268.765,,,,,267.1186666666666,267.5428571428571,267.7946153846153,268.1128571428572,268.34999999999997,268.6313333333334,268.9078947368421,269.14375,269.4507142857143,269.72,269.97249999999997,270.4376470588236,,,,,0,0,0.0,0.0,245.35114000000002,50.680870000000006,64.52649,337.92139,103.83825000000002,89.21943999999999,172.94871,59.05102,87.40241999999999,142.01841,429.30330000000004,151.03769000000003,0.0,0.0,0,0,0
268.89,268.82,8796.00924187556,-0.08377854142892728,316.87445999999983,12.927743999999997,2019-06-15 14:48:20.401593,0.059511970947307063,529.6242,41.16689500000002,268.8775796991953,268.855,,,,,267.23033333333336,267.6358333333333,267.8718181818182,268.1829411764706,268.4453846153846,268.7,268.995625,269.2592307692308,269.52916666666664,269.7755555555556,270.085,270.5058064516129,,,,,0,0,0.0,0.0,515.27518,42.41086,229.21637000000004,181.57465999999997,113.55227000000001,224.60587999999998,161.41878,77.78143999999999,133.73093,119.86889,444.34334000000007,87.05129999999998,0.0,0.0,0,0,0
